State,year,Current_dollar_GDP_MillionUSD,Population_in_thousands
Arizona,2013,275199.1,6633
Connecticut,2001,173127.2,3433
Hawaii,2003,48929.1,1251
Massachusetts,1981,"",5769
Massachusetts,1990,"",6023
Missouri,2002,196597.6,5675
Nevada,1977,"",678
Ohio,1999,376034.8,11335
Oklahoma,1985,"",3271
Oklahoma,2018,202554.1,3940
South Dakota,2005,30659.4,775
Texas,1971,"",11510
Texas,2018,1802511.2,28629
Vermont,1984,"",527
Virginia,1997,217251.9,6829
West Virginia,2004,49271.7,1816
Wisconsin,1998,162523,5298
Wyoming,2016,35740.3,584
